unit_id,feature,value,rule,confidence,evidence
R142_0052,term_deontic,stimiamo,T_lexicon,high,"…icipatione di tutte le nationi. Stimiamo pero, che a rinfrancar il smari…"
R142_0052,term_fiscal,datij,T_lexicon,high,"…n augumento considerabile delli datij, persuadendosi con fondamento d…"
R142_0052,term_fiscal,gravezze,T_lexicon,high,…et con haver pagate le publiche gravezze per detto tempo con pena alli c…
R142_0052,term_fiscal,cottimo,T_lexicon,high,"…ilo, Consoli, Viceconsoli pagar cottimo, et consolato, et star a ragion…"
R142_0052,place,Levante,G_gazetteer,medium,"…sta città [186v] alle scale del Levante, discorrendo in esso suo ricord…"
R142_0052,place,Ponente,G_gazetteer,medium,"…ercantia, et la navigatione del Ponente, e quello di Levante ridotto in…"
R142_0052,place,Spalato,G_gazetteer,medium,"…ea, quando institui la scala di Spalato, alla quale fu concesso non sol…"
R142_0053,policy_domain,credit_bankruptcy,M_domain_cues,medium,"…a piazza per li importantissimi fallimenti seguiti in essa, accio questo n…"
R142_0053,decision_orientation,regulate,M_orientation_from_closing,low,"…e stanno aspettando dalla buona regula, che si compiacesse la S.ta V.…"
R142_0053,term_deontic,debba,T_lexicon,high,…accordati da ducati mille in su debbano nel termine di giorni quindec…
R142_0053,term_deontic,debbano,T_lexicon,high,…accordati da ducati mille in su debbano nel termine di giorni quindeci…
R142_0053,term_deontic,non possa,T_lexicon,high,"…esser tolto fuori d'ogni casa, non possa in alcun tempo esser assolto, s…"
R142_0053,term_deontic,stimiamo,T_lexicon,high,"…sopra interessi ne anco questo stimiamo esser degno di alcuna scusa, po…"
R142_0053,term_fiscal,ducati,T_lexicon,high,…che vorranno esser accordati da ducati mille in su debbano nel termine…
R142_0053,term_institutions,avogaria,T_lexicon,high,…dalle leggi siano commessi all'Avogaria [a lato: Avog.a c.te 142] e pro…
R142_0053,term_monetary,ducati mille,T_lexicon,high,…che vorranno esser accordati da ducati mille in su debbano nel termine di gi…
R142_0059,place,Collogna,G_gazetteer,medium,Pod[est]a di Collogna
